scenario,seed,space,frag,opp,batch_days,policy,revenue,acceptance_rate,occupancy,revpabd,mean_waste_m,rejected_value,sim_seconds,acc_small,acc_sail,acc_motor,acc_super
high,11,1.5,0.0,0.05,1,"batch[1d,space=1.5,frag=0,opp=0.05]",2162491.0,0.7616,0.7339,50.03,1.83,1656041.0,9.0,0.952,0.745,0.711,0.699
high,7,1.5,0.0,0.1,1,"batch[1d,space=1.5,frag=0,opp=0.1]",2164890.0,0.7687,0.7283,50.08,1.77,1542309.0,8.9,0.976,0.748,0.716,0.711
high,11,1.5,0.0,0.1,1,"batch[1d,space=1.5,frag=0,opp=0.1]",2156723.0,0.761,0.7329,49.89,1.81,1658739.0,9.3,0.956,0.741,0.713,0.7
high,7,1.5,0.0,0.2,1,"batch[1d,space=1.5,frag=0,opp=0.2]",2160815.0,0.768,0.7277,49.99,1.74,1543279.0,9.1,0.976,0.746,0.717,0.711
high,11,1.5,0.0,0.2,1,"batch[1d,space=1.5,frag=0,opp=0.2]",2155097.0,0.7579,0.7317,49.85,1.77,1657662.0,9.1,0.952,0.734,0.714,0.703
high,7,1.5,0.0,0.3,1,"batch[1d,space=1.5,frag=0,opp=0.3]",2155709.0,0.7651,0.7255,49.87,1.7,1543903.0,9.4,0.972,0.74,0.716,0.714
high,11,1.5,0.0,0.3,1,"batch[1d,space=1.5,frag=0,opp=0.3]",2152807.0,0.757,0.7306,49.8,1.74,1655200.0,9.2,0.953,0.73,0.713,0.712
high,7,1.5,0.0,0.5,1,"batch[1d,space=1.5,frag=0,opp=0.5]",2144828.0,0.7617,0.7221,49.62,1.63,1543873.0,9.0,0.969,0.731,0.72,0.713
high,11,1.5,0.0,0.5,1,"batch[1d,space=1.5,frag=0,opp=0.5]",2144651.0,0.7504,0.7263,49.61,1.64,1647292.0,8.6,0.947,0.718,0.712,0.71
low,7,1.5,0.25,0.0,1,"batch[1d,space=1.5,frag=0.25,opp=0]",1636435.0,0.9509,0.4978,37.86,1.75,333562.0,7.4,1.0,0.954,0.943,0.891
low,11,1.5,0.25,0.0,1,"batch[1d,space=1.5,frag=0.25,opp=0]",1636514.0,0.9441,0.5104,37.86,1.75,343879.0,8.6,1.0,0.95,0.92,0.899
low,7,1.5,0.5,0.0,1,"batch[1d,space=1.5,frag=0.5,opp=0]",1625835.0,0.9482,0.4957,37.61,1.76,345995.0,8.2,1.0,0.954,0.936,0.885
low,11,1.5,0.5,0.0,1,"batch[1d,space=1.5,frag=0.5,opp=0]",1634879.0,0.9414,0.5098,37.82,1.78,348080.0,8.6,1.0,0.948,0.917,0.893
low,7,1.5,1.0,0.0,1,"batch[1d,space=1.5,frag=1,opp=0]",1617561.0,0.9394,0.494,37.42,1.77,355837.0,8.6,1.0,0.944,0.928,0.869
low,11,1.5,1.0,0.0,1,"batch[1d,space=1.5,frag=1,opp=0]",1634592.0,0.9353,0.5096,37.81,1.8,349174.0,8.4,1.0,0.936,0.919,0.882
base,7,1.5,0.25,0.0,1,"batch[1d,space=1.5,frag=0.25,opp=0]",1999870.0,0.8547,0.6533,46.26,1.82,982535.0,9.6,0.999,0.85,0.814,0.793
base,11,1.5,0.25,0.0,1,"batch[1d,space=1.5,frag=0.25,opp=0]",1944983.0,0.8647,0.6303,44.99,1.81,950288.0,9.2,0.999,0.858,0.834,0.779
base,7,1.5,0.5,0.0,1,"batch[1d,space=1.5,frag=0.5,opp=0]",1997180.0,0.8546,0.6521,46.2,1.84,985927.0,9.3,0.999,0.85,0.818,0.779
base,11,1.5,0.5,0.0,1,"batch[1d,space=1.5,frag=0.5,opp=0]",1940871.0,0.8626,0.6282,44.9,1.83,956500.0,8.9,0.996,0.856,0.834,0.775
base,7,1.5,1.0,0.0,1,"batch[1d,space=1.5,frag=1,opp=0]",1986378.0,0.8457,0.6504,45.95,1.85,999685.0,9.1,0.999,0.844,0.801,0.766
base,11,1.5,1.0,0.0,1,"batch[1d,space=1.5,frag=1,opp=0]",1928293.0,0.8572,0.6255,44.61,1.84,969649.0,9.4,0.998,0.851,0.828,0.759
high,7,1.5,0.25,0.0,1,"batch[1d,space=1.5,frag=0.25,opp=0]",2146438.0,0.7833,0.7241,49.65,1.83,1568780.0,10.5,0.972,0.763,0.736,0.734
high,11,1.5,0.25,0.0,1,"batch[1d,space=1.5,frag=0.25,opp=0]",2152063.0,0.7776,0.7298,49.78,1.89,1674295.0,10.7,0.96,0.764,0.729,0.71
high,7,1.5,0.5,0.0,1,"batch[1d,space=1.5,frag=0.5,opp=0]",2141605.0,0.7796,0.7226,49.54,1.85,1577914.0,11.4,0.972,0.76,0.731,0.725
high,11,1.5,0.5,0.0,1,"batch[1d,space=1.5,frag=0.5,opp=0]",2142591.0,0.7723,0.7292,49.56,1.91,1683996.0,10.7,0.958,0.759,0.725,0.689
high,7,1.5,1.0,0.0,1,"batch[1d,space=1.5,frag=1,opp=0]",2135816.0,0.772,0.7217,49.41,1.85,1584451.0,10.6,0.969,0.755,0.719,0.713
high,11,1.5,1.0,0.0,1,"batch[1d,space=1.5,frag=1,opp=0]",2137643.0,0.7665,0.7277,49.45,1.9,1690154.0,10.7,0.955,0.755,0.719,0.672
